,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
DWD-Experte,14.95277335249365,-0.008522567939486891,0.08538646937206229,0.01643941838071594,0.001904551869397137,-0.46180063505260904,-0.013806115494114103,0.0,0.001981807640759557,-0.01125641570445328,0.001981807640759557,-0.02633674838591428,-0.011126728725422353,0.0,DWD-Experte
wald+brand+e dwd-expert+e,9.43250321712786,0.06149492864483689,0.007236682802628063,0.0484688101864254,0.0560003750651341,-0.3673194228297549,0.04137728325224115,0.0,0.0560735642125664,0.04367670951944775,0.0560735642125664,0.029274065565304257,0.05905952781789571,0.0,wald+brand+e dwd-expert+e
dwd-expert+e mehr,10.306067852814548,0.04774484979341219,0.02381906680960216,0.04215797120255425,0.045340380445804865,-0.3877736256979325,0.03044546190624043,0.0,0.045414586861126045,0.03280740038474578,0.045414586861126045,0.01823554255880452,0.0452674806700645,0.0,dwd-expert+e mehr
Tage,27.16019547314117,-0.09342619919801856,0.16349368183681698,-0.021660891400952967,-0.062895386438397,-0.5520485499373325,-0.07924656337552127,0.0,-0.06281574011923809,-0.07654926015060673,-0.06281574011923809,-0.09202956170956057,-0.09613138781309198,0.0,Tage
mehr tag+e,17.349956272471214,-0.030314858583675865,0.10692170241154193,0.006560131231397223,-0.014821778594612684,-0.48700028129851686,-0.030749557599785992,0.0,-0.014743712127974613,-0.028149843012946266,-0.014743712127974613,-0.043365678625399515,-0.032953061208061026,0.0,mehr tag+e
Waldbrandgefahr,24.873094589649206,-0.08136021689503188,0.1532753086286194,-0.01631636609529833,-0.053749653745078355,-0.540372856017209,-0.0700387094871973,0.0,-0.05367023912846213,-0.06735572899313003,-0.05367023912846213,-0.08279720964153128,-0.08405551113275778,0.0,Waldbrandgefahr
tag+e wald+brand+gefahr,19.351392168843724,-0.04605427038857587,0.12179097848026998,-0.0005362798301960966,-0.026863959053735894,-0.5042271868487191,-0.04292269885536847,0.0,-0.026785403765019603,-0.04029280677212189,-0.026785403765019603,-0.05559041315526737,-0.048713093536315526,0.0,tag+e wald+brand+gefahr
wald+brand+gefahr klima+wandel,40.19943166525166,-0.1451114760931,0.20452503240112915,-0.04424332120065925,-0.10180790585043963,-0.5990153417815635,-0.11835451094245208,0.0,-0.10172753083325489,-0.11561213920622065,-0.10172753083325489,-0.13121461071088564,-0.14784802203803088,0.0,wald+brand+gefahr klima+wandel
klima+wandel hier,13.996811226240018,0.0012881948064645747,0.07530377677596976,0.020904844801581224,0.009453557715450783,-0.4498862436020857,-0.006143762819996019,0.0,0.009530390098675751,-0.003620166973250843,0.009530390098675751,-0.018629787247304547,-0.0012982537109721354,0.0,klima+wandel hier
thema wald+brand+e,8.86112705460468,0.0712806526888423,-0.00499021620714272,0.052961539562018656,0.06359577440006287,-0.352111609220558,0.04918756925622584,0.0,0.0636681589680666,0.05143759673318893,0.0636681589680666,0.03716864401734189,0.06887835249618886,0.0,thema wald+brand+e
